event_date,n_event
2020-01-01,578
2020-01-02,1104
2020-01-03,1486
2020-01-04,2385
2020-01-05,2555
2020-01-06,3029
2020-01-07,3125
2020-01-08,4069
2020-01-09,3950
2020-01-10,5140
2020-01-11,5296
2020-01-12,6083
2020-01-13,5598
2020-01-14,6609
2020-01-15,6842
2020-01-16,6823
2020-01-17,8184
2020-01-18,8674
2020-01-19,9463
2020-01-20,9452
2020-01-21,10003
2020-01-22,10300
2020-01-23,10672
2020-01-24,11207
2020-01-25,12236
2020-01-26,14008
2020-01-27,11523
2020-01-28,12630
2020-01-29,13338
2020-01-30,13757
2020-01-31,14545
2020-02-01,16866
2020-02-02,15640
2020-02-03,13268
2020-02-04,14158
2020-02-05,14502
2020-02-06,13880
2020-02-07,15975
2020-02-08,14840
2020-02-09,15717
2020-02-10,13345
2020-02-11,14248
2020-02-12,14878
2020-02-13,14481
2020-02-14,16316
2020-02-15,14988
2020-02-16,15231
2020-02-17,14330
2020-02-18,13727
2020-02-19,13519
2020-02-20,14904
2020-02-21,15031
2020-02-22,16055
2020-02-23,16509
2020-02-24,15382
2020-02-25,14448
2020-02-26,15360
2020-02-27,14268
2020-02-28,15538
2020-02-29,15434
2020-03-01,15873
2020-03-02,13888
2020-03-03,15462
2020-03-04,14819
2020-03-05,15387
2020-03-06,16483
2020-03-07,16151
2020-03-08,16337
2020-03-09,14063
2020-03-10,13390
2020-03-11,15551
2020-03-12,14118
2020-03-13,17154
2020-03-14,17156
2020-03-15,17321
2020-03-16,15173
2020-03-17,15634
2020-03-18,15821
2020-03-19,15602
2020-03-20,16951
2020-03-21,17407
2020-03-22,16643
2020-03-23,15610
2020-03-24,16182
2020-03-25,15047
2020-03-26,16041
2020-03-27,18386
2020-03-28,17672
2020-03-29,16320
2020-03-30,16092
2020-03-31,14906
2020-04-01,16174
2020-04-02,16466
2020-04-03,17758
2020-04-04,17661
2020-04-05,16668
2020-04-06,16333
2020-04-07,15763
2020-04-08,16221
2020-04-09,15749
2020-04-10,18295
2020-04-11,17257
2020-04-12,18425
2020-04-13,16602
2020-04-14,16587
2020-04-15,17054
2020-04-16,16889
2020-04-17,19676
2020-04-18,17424
2020-04-19,17271
2020-04-20,16804
2020-04-21,16128
2020-04-22,17173
2020-04-23,16903
2020-04-24,17551
2020-04-25,19982
2020-04-26,18531
2020-04-27,15578
2020-04-28,16052
2020-04-29,15831
2020-04-30,17115
2020-05-01,17654
2020-05-02,20504
2020-05-03,19082
2020-05-04,17782
2020-05-05,17344
2020-05-06,17924
2020-05-07,17457
2020-05-08,18366
2020-05-09,20774
2020-05-10,18006
2020-05-11,17715
2020-05-12,16291
2020-05-13,16578
2020-05-14,17355
2020-05-15,18337
2020-05-16,18631
2020-05-17,20858
2020-05-18,17968
2020-05-19,15675
2020-05-20,18549
2020-05-21,18856
2020-05-22,18532
2020-05-23,19126
2020-05-24,20503
2020-05-25,18417
2020-05-26,17025
2020-05-27,18884
2020-05-28,17693
2020-05-29,19230
2020-05-30,19079
2020-05-31,19389
2020-06-01,18691
2020-06-02,18260
2020-06-03,16058
2020-06-04,14726
2020-06-05,16530
2020-06-06,16143
2020-06-07,15358
2020-06-08,14754
2020-06-09,14110
2020-06-10,13415
2020-06-11,12849
2020-06-12,12319
2020-06-13,13639
2020-06-14,11396
2020-06-15,10498
2020-06-16,9657
2020-06-17,8706
2020-06-18,7733
2020-06-19,8257
2020-06-20,7336
2020-06-21,7536
2020-06-22,5135
2020-06-23,5470
2020-06-24,4889
2020-06-25,3608
2020-06-26,3603
2020-06-27,3441
2020-06-28,2671
2020-06-29,928
2020-06-30,569
