event_date,n_event
2020-01-01,184
2020-01-02,355
2020-01-03,516
2020-01-04,821
2020-01-05,861
2020-01-06,1073
2020-01-07,1211
2020-01-08,1391
2020-01-09,1545
2020-01-10,1833
2020-01-11,1914
2020-01-12,2157
2020-01-13,2182
2020-01-14,2486
2020-01-15,2526
2020-01-16,2754
2020-01-17,3032
2020-01-18,3106
2020-01-19,3590
2020-01-20,3473
2020-01-21,3717
2020-01-22,3822
2020-01-23,4241
2020-01-24,4273
2020-01-25,4416
2020-01-26,5129
2020-01-27,4487
2020-01-28,4990
2020-01-29,5111
2020-01-30,5249
2020-01-31,5249
2020-02-01,6029
2020-02-02,5588
2020-02-03,5284
2020-02-04,5457
2020-02-05,5598
2020-02-06,5308
2020-02-07,5729
2020-02-08,5421
2020-02-09,5640
2020-02-10,5184
2020-02-11,5485
2020-02-12,5509
2020-02-13,5482
2020-02-14,5773
2020-02-15,5664
2020-02-16,5739
2020-02-17,5479
2020-02-18,5263
2020-02-19,5436
2020-02-20,5698
2020-02-21,5503
2020-02-22,5701
2020-02-23,5913
2020-02-24,5664
2020-02-25,5579
2020-02-26,5515
2020-02-27,5591
2020-02-28,5661
2020-02-29,5615
2020-03-01,5670
2020-03-02,5375
2020-03-03,5757
2020-03-04,5692
2020-03-05,5823
2020-03-06,5975
2020-03-07,5786
2020-03-08,5887
2020-03-09,5407
2020-03-10,5206
2020-03-11,5784
2020-03-12,5570
2020-03-13,6060
2020-03-14,5950
2020-03-15,6018
2020-03-16,5920
2020-03-17,5843
2020-03-18,5875
2020-03-19,5971
2020-03-20,5998
2020-03-21,6202
2020-03-22,5973
2020-03-23,5938
2020-03-24,6109
2020-03-25,5790
2020-03-26,5973
2020-03-27,6474
2020-03-28,6329
2020-03-29,6051
2020-03-30,5886
2020-03-31,5821
2020-04-01,6084
2020-04-02,6031
2020-04-03,6387
2020-04-04,6232
2020-04-05,6109
2020-04-06,6052
2020-04-07,5944
2020-04-08,5971
2020-04-09,5992
2020-04-10,6392
2020-04-11,6243
2020-04-12,6449
2020-04-13,6136
2020-04-14,6232
2020-04-15,6249
2020-04-16,6295
2020-04-17,6957
2020-04-18,6242
2020-04-19,6265
2020-04-20,6537
2020-04-21,6228
2020-04-22,6374
2020-04-23,6413
2020-04-24,6217
2020-04-25,6729
2020-04-26,6616
2020-04-27,6078
2020-04-28,6107
2020-04-29,6188
2020-04-30,6451
2020-05-01,6495
2020-05-02,7080
2020-05-03,6553
2020-05-04,6569
2020-05-05,6478
2020-05-06,6402
2020-05-07,6504
2020-05-08,6623
2020-05-09,7140
2020-05-10,6795
2020-05-11,6670
2020-05-12,6344
2020-05-13,6372
2020-05-14,6779
2020-05-15,6708
2020-05-16,6796
2020-05-17,7340
2020-05-18,6844
2020-05-19,6240
2020-05-20,6831
2020-05-21,6902
2020-05-22,6857
2020-05-23,6886
2020-05-24,7126
2020-05-25,6815
2020-05-26,6791
2020-05-27,6957
2020-05-28,6741
2020-05-29,6959
2020-05-30,6989
2020-05-31,6941
2020-06-01,7089
2020-06-02,6770
2020-06-03,6210
2020-06-04,5764
2020-06-05,6105
2020-06-06,5907
2020-06-07,5601
2020-06-08,5467
2020-06-09,5383
2020-06-10,4853
2020-06-11,4706
2020-06-12,4538
2020-06-13,4596
2020-06-14,4037
2020-06-15,3798
2020-06-16,3510
2020-06-17,3382
2020-06-18,2924
2020-06-19,2888
2020-06-20,2724
2020-06-21,2597
2020-06-22,1924
2020-06-23,1929
2020-06-24,1805
2020-06-25,1390
2020-06-26,1345
2020-06-27,1241
2020-06-28,962
2020-06-29,350
2020-06-30,257
