event_date,n_event
2020-01-01,643
2020-01-02,1039
2020-01-03,1589
2020-01-04,2489
2020-01-05,2718
2020-01-06,3083
2020-01-07,3203
2020-01-08,4037
2020-01-09,4067
2020-01-10,5222
2020-01-11,5828
2020-01-12,6457
2020-01-13,5811
2020-01-14,6796
2020-01-15,7198
2020-01-16,7132
2020-01-17,8421
2020-01-18,8686
2020-01-19,10045
2020-01-20,9719
2020-01-21,9946
2020-01-22,10384
2020-01-23,10716
2020-01-24,11537
2020-01-25,12565
2020-01-26,14442
2020-01-27,11694
2020-01-28,12872
2020-01-29,13623
2020-01-30,13904
2020-01-31,14534
2020-02-01,17173
2020-02-02,15921
2020-02-03,13443
2020-02-04,14540
2020-02-05,14668
2020-02-06,13949
2020-02-07,16450
2020-02-08,15051
2020-02-09,15876
2020-02-10,13643
2020-02-11,14433
2020-02-12,15133
2020-02-13,14966
2020-02-14,16576
2020-02-15,15302
2020-02-16,15662
2020-02-17,14862
2020-02-18,13907
2020-02-19,13908
2020-02-20,15299
2020-02-21,15184
2020-02-22,16553
2020-02-23,17039
2020-02-24,15511
2020-02-25,14523
2020-02-26,15563
2020-02-27,14944
2020-02-28,15629
2020-02-29,15674
2020-03-01,16354
2020-03-02,14151
2020-03-03,15683
2020-03-04,15246
2020-03-05,15672
2020-03-06,16811
2020-03-07,16431
2020-03-08,16753
2020-03-09,14561
2020-03-10,13518
2020-03-11,16159
2020-03-12,14717
2020-03-13,17834
2020-03-14,18011
2020-03-15,17659
2020-03-16,15670
2020-03-17,16110
2020-03-18,16359
2020-03-19,16167
2020-03-20,17448
2020-03-21,18061
2020-03-22,17291
2020-03-23,16103
2020-03-24,16728
2020-03-25,15636
2020-03-26,16716
2020-03-27,19496
2020-03-28,18238
2020-03-29,17083
2020-03-30,16373
2020-03-31,15252
2020-04-01,16859
2020-04-02,16799
2020-04-03,18813
2020-04-04,18554
2020-04-05,17442
2020-04-06,16867
2020-04-07,16480
2020-04-08,16653
2020-04-09,16389
2020-04-10,18833
2020-04-11,17928
2020-04-12,19134
2020-04-13,17092
2020-04-14,17266
2020-04-15,17509
2020-04-16,17483
2020-04-17,20114
2020-04-18,17964
2020-04-19,17800
2020-04-20,17316
2020-04-21,16551
2020-04-22,17811
2020-04-23,17833
2020-04-24,18280
2020-04-25,20580
2020-04-26,19090
2020-04-27,16086
2020-04-28,16483
2020-04-29,16250
2020-04-30,17809
2020-05-01,18068
2020-05-02,21145
2020-05-03,19968
2020-05-04,18398
2020-05-05,17665
2020-05-06,18410
2020-05-07,17780
2020-05-08,19064
2020-05-09,21284
2020-05-10,18610
2020-05-11,18308
2020-05-12,16942
2020-05-13,16673
2020-05-14,17959
2020-05-15,18701
2020-05-16,19251
2020-05-17,21613
2020-05-18,18378
2020-05-19,16098
2020-05-20,19051
2020-05-21,19090
2020-05-22,19098
2020-05-23,19528
2020-05-24,21110
2020-05-25,18852
2020-05-26,17488
2020-05-27,19261
2020-05-28,18080
2020-05-29,19810
2020-05-30,19616
2020-05-31,20062
2020-06-01,19251
2020-06-02,19079
2020-06-03,16864
2020-06-04,15202
2020-06-05,17049
2020-06-06,16387
2020-06-07,16029
2020-06-08,15494
2020-06-09,14336
2020-06-10,13652
2020-06-11,13046
2020-06-12,12463
2020-06-13,13988
2020-06-14,11850
2020-06-15,10524
2020-06-16,9724
2020-06-17,8995
2020-06-18,7848
2020-06-19,8433
2020-06-20,7382
2020-06-21,7745
2020-06-22,5393
2020-06-23,5447
2020-06-24,5077
2020-06-25,3681
2020-06-26,3716
2020-06-27,3524
2020-06-28,2544
2020-06-29,965
2020-06-30,640
