calc_date,avg,n_calc,min,max
2020-02-02,26.28240196602201,9359,1.0,2003.0
2020-02-09,32.41882067851373,9904,1.0,1945.0
2020-02-16,36.87503675389591,10203,1.0,1931.0
2020-02-23,38.84527001148985,10444,1.0,1918.0
2020-03-01,39.179805971555055,10617,1.0,1881.0
2020-03-08,39.51766138855055,10673,1.0,1946.0
2020-03-15,39.59140385152107,10749,1.0,1964.0
2020-03-22,40.209944751381215,10860,1.0,1998.0
2020-03-29,40.881483521527585,10893,1.0,2001.0
2020-04-05,41.11508765555455,11009,1.0,1676.0
2020-04-12,41.35159612625538,11152,1.0,1201.0
2020-04-19,41.53637408291346,11313,1.0,1140.0
2020-04-26,41.63812855268911,11435,1.0,1120.0
2020-05-03,41.4106529209622,11640,1.0,1060.0
2020-05-10,41.8858958068615,11805,1.0,1032.0
