calc_date,avg,n_calc,min,max
2020-02-02,59.874042641275096,9662,1.0,4207.0
2020-02-09,75.16009925558312,10075,1.0,5329.0
2020-02-16,85.94017011405374,10346,1.0,5468.0
2020-02-23,90.79077243074596,10577,1.0,5390.0
2020-03-01,91.66852419429739,10767,1.0,5345.0
2020-03-08,92.56220007382798,10836,1.0,5315.0
2020-03-15,93.00696034435389,10919,1.0,5294.0
2020-03-22,94.72645617855198,11022,1.0,5355.0
2020-03-29,96.74053713049747,11096,1.0,5500.0
2020-04-05,97.78619153674833,11225,1.0,5514.0
2020-04-12,98.47674316363316,11373,1.0,5475.0
2020-04-19,99.33964229901025,11518,1.0,5729.0
2020-04-26,99.70102383205713,11623,1.0,5737.0
2020-05-03,98.73986828774063,11844,1.0,5631.0
2020-05-10,100.03064113238968,12010,1.0,5659.0
