calc_date,avg,n_calc,min,max
2020-02-02,5.271667975909924,7638,1.0,156.0
2020-02-09,6.126204574480437,8613,1.0,192.0
2020-02-16,6.81537783652787,9078,1.0,193.0
2020-02-23,7.279294775317136,9302,1.0,200.0
2020-03-01,7.375303943334391,9459,1.0,187.0
2020-03-08,7.410940278213576,9561,1.0,183.0
2020-03-15,7.471435977190254,9645,1.0,164.0
2020-03-22,7.484223424895333,9793,1.0,159.0
2020-03-29,7.581142799147468,9853,1.0,166.0
2020-04-05,7.618900309350364,10021,1.0,174.0
2020-04-12,7.652564102564103,10140,1.0,172.0
2020-04-19,7.683611975116641,10288,1.0,185.0
2020-04-26,7.684220586829781,10463,1.0,181.0
2020-05-03,7.699219117508703,10629,1.0,174.0
2020-05-10,7.733871716327856,10773,1.0,191.0
