calc_date,avg,n_calc,min,max
2020-02-02,26.926112061591102,9352,1.0,3470.0
2020-02-09,33.15226628895184,9884,1.0,4373.0
2020-02-16,37.65899931190406,10173,1.0,4415.0
2020-02-23,39.82742681047766,10384,1.0,4386.0
2020-03-01,40.10294951786727,10578,1.0,4376.0
2020-03-08,40.52857008378048,10623,1.0,4390.0
2020-03-15,40.68267885458446,10721,1.0,4417.0
2020-03-22,41.37893473645343,10833,1.0,4441.0
2020-03-29,42.14811078503301,10904,1.0,4493.0
2020-04-05,42.49823289533303,11035,1.0,4540.0
2020-04-12,42.83600681064612,11159,1.0,4526.0
2020-04-19,43.04100026508792,11317,1.0,4531.0
2020-04-26,43.080646570554826,11445,1.0,4496.0
2020-05-03,42.81653347082582,11637,1.0,4450.0
2020-05-10,43.104925234434404,11837,1.0,4458.0
