event_date,n_event
2020-01-01,1218
2020-01-02,2175
2020-01-03,3390
2020-01-04,5125
2020-01-05,5650
2020-01-06,6377
2020-01-07,6662
2020-01-08,8814
2020-01-09,8897
2020-01-10,12242
2020-01-11,13255
2020-01-12,14736
2020-01-13,12669
2020-01-14,15010
2020-01-15,16020
2020-01-16,15827
2020-01-17,20305
2020-01-18,20547
2020-01-19,23580
2020-01-20,22729
2020-01-21,23262
2020-01-22,24531
2020-01-23,24467
2020-01-24,26775
2020-01-25,29416
2020-01-26,33933
2020-01-27,26469
2020-01-28,28779
2020-01-29,30650
2020-01-30,32114
2020-01-31,34479
2020-02-01,40308
2020-02-02,37580
2020-02-03,30696
2020-02-04,32934
2020-02-05,33262
2020-02-06,32029
2020-02-07,39378
2020-02-08,34753
2020-02-09,37939
2020-02-10,30404
2020-02-11,32891
2020-02-12,35182
2020-02-13,34230
2020-02-14,39928
2020-02-15,36439
2020-02-16,37578
2020-02-17,33573
2020-02-18,31689
2020-02-19,31958
2020-02-20,35996
2020-02-21,35831
2020-02-22,39292
2020-02-23,41255
2020-02-24,36526
2020-02-25,32907
2020-02-26,36048
2020-02-27,33104
2020-02-28,36951
2020-02-29,36642
2020-03-01,39233
2020-03-02,32030
2020-03-03,36643
2020-03-04,34007
2020-03-05,36167
2020-03-06,39767
2020-03-07,38794
2020-03-08,39974
2020-03-09,32419
2020-03-10,31376
2020-03-11,37450
2020-03-12,33060
2020-03-13,42585
2020-03-14,42688
2020-03-15,41936
2020-03-16,35277
2020-03-17,36754
2020-03-18,38115
2020-03-19,37199
2020-03-20,41808
2020-03-21,43360
2020-03-22,40941
2020-03-23,36886
2020-03-24,39178
2020-03-25,35233
2020-03-26,39426
2020-03-27,46495
2020-03-28,44632
2020-03-29,40330
2020-03-30,38743
2020-03-31,34476
2020-04-01,39659
2020-04-02,39093
2020-04-03,44325
2020-04-04,44232
2020-04-05,40952
2020-04-06,39132
2020-04-07,37048
2020-04-08,38637
2020-04-09,37579
2020-04-10,45934
2020-04-11,42596
2020-04-12,45719
2020-04-13,39999
2020-04-14,40361
2020-04-15,40866
2020-04-16,40815
2020-04-17,48037
2020-04-18,42870
2020-04-19,42183
2020-04-20,40353
2020-04-21,37836
2020-04-22,42001
2020-04-23,41548
2020-04-24,43937
2020-04-25,49564
2020-04-26,45989
2020-04-27,36781
2020-04-28,37376
2020-04-29,37156
2020-04-30,40762
2020-05-01,42748
2020-05-02,50696
2020-05-03,47266
2020-05-04,43732
2020-05-05,41084
2020-05-06,43869
2020-05-07,41232
2020-05-08,45729
2020-05-09,50859
2020-05-10,43837
2020-05-11,42623
2020-05-12,38236
2020-05-13,38261
2020-05-14,41375
2020-05-15,45574
2020-05-16,45917
2020-05-17,52398
2020-05-18,42819
2020-05-19,37190
2020-05-20,44740
2020-05-21,45334
2020-05-22,45497
2020-05-23,46856
2020-05-24,51576
2020-05-25,43896
2020-05-26,39344
2020-05-27,45023
2020-05-28,41545
2020-05-29,47625
2020-05-30,46156
2020-05-31,47829
2020-06-01,44534
2020-06-02,44567
2020-06-03,38366
2020-06-04,34913
2020-06-05,40519
2020-06-06,39035
2020-06-07,37921
2020-06-08,36000
2020-06-09,33276
2020-06-10,31522
2020-06-11,30631
2020-06-12,29800
2020-06-13,33847
2020-06-14,28023
2020-06-15,24246
2020-06-16,21892
2020-06-17,19833
2020-06-18,17233
2020-06-19,19380
2020-06-20,17245
2020-06-21,18224
2020-06-22,11676
2020-06-23,12816
2020-06-24,11263
2020-06-25,8155
2020-06-26,8252
2020-06-27,8133
2020-06-28,5727
2020-06-29,1826
2020-06-30,1170
