event_date,n_event
2020-01-01,658
2020-01-02,1302
2020-01-03,2289
2020-01-04,3709
2020-01-05,3734
2020-01-06,4341
2020-01-07,4408
2020-01-08,5855
2020-01-09,5947
2020-01-10,8224
2020-01-11,8587
2020-01-12,9701
2020-01-13,8553
2020-01-14,10226
2020-01-15,10633
2020-01-16,10217
2020-01-17,12960
2020-01-18,13127
2020-01-19,14901
2020-01-20,14335
2020-01-21,14631
2020-01-22,15621
2020-01-23,15361
2020-01-24,17141
2020-01-25,18835
2020-01-26,21867
2020-01-27,16983
2020-01-28,18590
2020-01-29,19356
2020-01-30,20536
2020-01-31,21865
2020-02-01,25772
2020-02-02,23812
2020-02-03,19349
2020-02-04,20856
2020-02-05,21101
2020-02-06,20361
2020-02-07,24978
2020-02-08,22124
2020-02-09,24147
2020-02-10,19442
2020-02-11,20686
2020-02-12,22484
2020-02-13,21735
2020-02-14,24992
2020-02-15,22791
2020-02-16,23309
2020-02-17,21496
2020-02-18,20076
2020-02-19,20218
2020-02-20,22661
2020-02-21,22673
2020-02-22,24418
2020-02-23,25349
2020-02-24,22603
2020-02-25,20933
2020-02-26,22514
2020-02-27,21094
2020-02-28,23253
2020-02-29,23010
2020-03-01,24620
2020-03-02,20273
2020-03-03,23090
2020-03-04,21643
2020-03-05,22760
2020-03-06,25198
2020-03-07,24064
2020-03-08,24928
2020-03-09,20497
2020-03-10,19784
2020-03-11,23364
2020-03-12,20855
2020-03-13,26503
2020-03-14,26488
2020-03-15,26163
2020-03-16,22343
2020-03-17,22811
2020-03-18,23745
2020-03-19,23480
2020-03-20,25948
2020-03-21,27255
2020-03-22,25923
2020-03-23,22914
2020-03-24,24041
2020-03-25,22466
2020-03-26,24710
2020-03-27,28292
2020-03-28,27409
2020-03-29,25232
2020-03-30,24257
2020-03-31,21839
2020-04-01,24713
2020-04-02,24687
2020-04-03,27678
2020-04-04,27597
2020-04-05,25874
2020-04-06,24858
2020-04-07,23406
2020-04-08,24510
2020-04-09,23581
2020-04-10,28362
2020-04-11,26566
2020-04-12,28628
2020-04-13,24813
2020-04-14,25234
2020-04-15,25510
2020-04-16,25641
2020-04-17,30391
2020-04-18,26678
2020-04-19,26674
2020-04-20,25598
2020-04-21,23910
2020-04-22,26362
2020-04-23,26293
2020-04-24,26985
2020-04-25,30480
2020-04-26,28783
2020-04-27,22931
2020-04-28,23647
2020-04-29,23748
2020-04-30,25783
2020-05-01,26784
2020-05-02,31729
2020-05-03,29132
2020-05-04,26871
2020-05-05,25875
2020-05-06,27203
2020-05-07,26312
2020-05-08,28517
2020-05-09,31645
2020-05-10,28145
2020-05-11,27037
2020-05-12,24865
2020-05-13,24269
2020-05-14,26017
2020-05-15,28402
2020-05-16,28678
2020-05-17,32393
2020-05-18,27103
2020-05-19,23709
2020-05-20,28393
2020-05-21,28348
2020-05-22,28143
2020-05-23,28857
2020-05-24,32287
2020-05-25,28039
2020-05-26,25354
2020-05-27,28426
2020-05-28,26563
2020-05-29,29917
2020-05-30,29196
2020-05-31,30232
2020-06-01,28226
2020-06-02,28223
2020-06-03,24217
2020-06-04,22035
2020-06-05,25579
2020-06-06,24386
2020-06-07,23621
2020-06-08,21926
2020-06-09,20778
2020-06-10,19403
2020-06-11,18832
2020-06-12,18036
2020-06-13,20118
2020-06-14,16790
2020-06-15,15398
2020-06-16,14190
2020-06-17,12625
2020-06-18,11197
2020-06-19,12517
2020-06-20,10811
2020-06-21,11504
2020-06-22,7786
2020-06-23,8114
2020-06-24,7245
2020-06-25,5411
2020-06-26,5094
2020-06-27,4934
2020-06-28,3509
2020-06-29,1335
2020-06-30,875
