event_date,n_event
2020-01-01,73
2020-01-02,166
2020-01-03,221
2020-01-04,325
2020-01-05,410
2020-01-06,461
2020-01-07,545
2020-01-08,625
2020-01-09,703
2020-01-10,842
2020-01-11,864
2020-01-12,971
2020-01-13,988
2020-01-14,1026
2020-01-15,1152
2020-01-16,1295
2020-01-17,1297
2020-01-18,1416
2020-01-19,1436
2020-01-20,1577
2020-01-21,1587
2020-01-22,1654
2020-01-23,1813
2020-01-24,1870
2020-01-25,1960
2020-01-26,2086
2020-01-27,1963
2020-01-28,2219
2020-01-29,2285
2020-01-30,2276
2020-01-31,2430
2020-02-01,2514
2020-02-02,2421
2020-02-03,2374
2020-02-04,2403
2020-02-05,2376
2020-02-06,2412
2020-02-07,2488
2020-02-08,2476
2020-02-09,2434
2020-02-10,2417
2020-02-11,2473
2020-02-12,2456
2020-02-13,2485
2020-02-14,2483
2020-02-15,2502
2020-02-16,2471
2020-02-17,2587
2020-02-18,2502
2020-02-19,2532
2020-02-20,2567
2020-02-21,2573
2020-02-22,2507
2020-02-23,2573
2020-02-24,2528
2020-02-25,2553
2020-02-26,2526
2020-02-27,2556
2020-02-28,2476
2020-02-29,2612
2020-03-01,2613
2020-03-02,2524
2020-03-03,2629
2020-03-04,2572
2020-03-05,2589
2020-03-06,2593
2020-03-07,2523
2020-03-08,2647
2020-03-09,2503
2020-03-10,2678
2020-03-11,2629
2020-03-12,2613
2020-03-13,2598
2020-03-14,2788
2020-03-15,2751
2020-03-16,2696
2020-03-17,2714
2020-03-18,2745
2020-03-19,2599
2020-03-20,2803
2020-03-21,2662
2020-03-22,2714
2020-03-23,2688
2020-03-24,2767
2020-03-25,2676
2020-03-26,2708
2020-03-27,2847
2020-03-28,2828
2020-03-29,2778
2020-03-30,2873
2020-03-31,2670
2020-04-01,2888
2020-04-02,2768
2020-04-03,2833
2020-04-04,2885
2020-04-05,2736
2020-04-06,2736
2020-04-07,2838
2020-04-08,2871
2020-04-09,2874
2020-04-10,2818
2020-04-11,2831
2020-04-12,2874
2020-04-13,2872
2020-04-14,2912
2020-04-15,2916
2020-04-16,2917
2020-04-17,3055
2020-04-18,2876
2020-04-19,2859
2020-04-20,2959
2020-04-21,2957
2020-04-22,2823
2020-04-23,2945
2020-04-24,2954
2020-04-25,3082
2020-04-26,2968
2020-04-27,2959
2020-04-28,3023
2020-04-29,3040
2020-04-30,2972
2020-05-01,3008
2020-05-02,3160
2020-05-03,3068
2020-05-04,2970
2020-05-05,2972
2020-05-06,3021
2020-05-07,2947
2020-05-08,3064
2020-05-09,3144
2020-05-10,3123
2020-05-11,3159
2020-05-12,3096
2020-05-13,3015
2020-05-14,3067
2020-05-15,3122
2020-05-16,3095
2020-05-17,3234
2020-05-18,3153
2020-05-19,3059
2020-05-20,3137
2020-05-21,3237
2020-05-22,2988
2020-05-23,3089
2020-05-24,3199
2020-05-25,3155
2020-05-26,3150
2020-05-27,3194
2020-05-28,3237
2020-05-29,3190
2020-05-30,3250
2020-05-31,3203
2020-06-01,3298
2020-06-02,3132
2020-06-03,3023
2020-06-04,2870
2020-06-05,2806
2020-06-06,2769
2020-06-07,2569
2020-06-08,2575
2020-06-09,2437
2020-06-10,2229
2020-06-11,2199
2020-06-12,2073
2020-06-13,1939
2020-06-14,1908
2020-06-15,1789
2020-06-16,1724
2020-06-17,1509
2020-06-18,1450
2020-06-19,1327
2020-06-20,1223
2020-06-21,1073
2020-06-22,948
2020-06-23,907
2020-06-24,872
2020-06-25,703
2020-06-26,614
2020-06-27,495
2020-06-28,370
2020-06-29,140
2020-06-30,122
