event_date,n_event
2020-01-01,2
2020-01-02,10
2020-01-03,14
2020-01-04,8
2020-01-05,21
2020-01-06,20
2020-01-07,28
2020-01-08,22
2020-01-09,35
2020-01-10,37
2020-01-11,40
2020-01-12,51
2020-01-13,47
2020-01-14,49
2020-01-15,60
2020-01-16,48
2020-01-17,57
2020-01-18,73
2020-01-19,56
2020-01-20,84
2020-01-21,78
2020-01-22,73
2020-01-23,84
2020-01-24,91
2020-01-25,103
2020-01-26,94
2020-01-27,112
2020-01-28,102
2020-01-29,91
2020-01-30,112
2020-01-31,124
2020-02-01,112
2020-02-02,95
2020-02-03,106
2020-02-04,102
2020-02-05,121
2020-02-06,109
2020-02-07,113
2020-02-08,98
2020-02-09,125
2020-02-10,107
2020-02-11,104
2020-02-12,119
2020-02-13,101
2020-02-14,115
2020-02-15,103
2020-02-16,114
2020-02-17,106
2020-02-18,115
2020-02-19,101
2020-02-20,103
2020-02-21,96
2020-02-22,99
2020-02-23,112
2020-02-24,126
2020-02-25,116
2020-02-26,116
2020-02-27,121
2020-02-28,124
2020-02-29,109
2020-03-01,101
2020-03-02,116
2020-03-03,110
2020-03-04,113
2020-03-05,102
2020-03-06,124
2020-03-07,89
2020-03-08,100
2020-03-09,122
2020-03-10,122
2020-03-11,117
2020-03-12,131
2020-03-13,119
2020-03-14,131
2020-03-15,110
2020-03-16,115
2020-03-17,128
2020-03-18,102
2020-03-19,125
2020-03-20,122
2020-03-21,97
2020-03-22,135
2020-03-23,126
2020-03-24,124
2020-03-25,130
2020-03-26,90
2020-03-27,126
2020-03-28,126
2020-03-29,105
2020-03-30,122
2020-03-31,128
2020-04-01,112
2020-04-02,120
2020-04-03,130
2020-04-04,111
2020-04-05,123
2020-04-06,115
2020-04-07,124
2020-04-08,108
2020-04-09,117
2020-04-10,102
2020-04-11,119
2020-04-12,111
2020-04-13,122
2020-04-14,111
2020-04-15,136
2020-04-16,129
2020-04-17,137
2020-04-18,140
2020-04-19,111
2020-04-20,114
2020-04-21,135
2020-04-22,122
2020-04-23,124
2020-04-24,125
2020-04-25,134
2020-04-26,125
2020-04-27,103
2020-04-28,126
2020-04-29,121
2020-04-30,132
2020-05-01,107
2020-05-02,138
2020-05-03,121
2020-05-04,145
2020-05-05,150
2020-05-06,136
2020-05-07,123
2020-05-08,143
2020-05-09,124
2020-05-10,123
2020-05-11,142
2020-05-12,117
2020-05-13,134
2020-05-14,146
2020-05-15,122
2020-05-16,133
2020-05-17,132
2020-05-18,122
2020-05-19,139
2020-05-20,135
2020-05-21,134
2020-05-22,132
2020-05-23,137
2020-05-24,140
2020-05-25,125
2020-05-26,130
2020-05-27,124
2020-05-28,143
2020-05-29,152
2020-05-30,133
2020-05-31,138
2020-06-01,163
2020-06-02,126
2020-06-03,118
2020-06-04,115
2020-06-05,107
2020-06-06,115
2020-06-07,118
2020-06-08,94
2020-06-09,110
2020-06-10,83
2020-06-11,83
2020-06-12,85
2020-06-13,76
2020-06-14,82
2020-06-15,69
2020-06-16,79
2020-06-17,66
2020-06-18,72
2020-06-19,43
2020-06-20,45
2020-06-21,41
2020-06-22,46
2020-06-23,41
2020-06-24,30
2020-06-25,36
2020-06-26,34
2020-06-27,19
2020-06-28,11
2020-06-29,6
2020-06-30,8
