calc_date,avg,n_calc,min,max
2020-02-02,10.627979634343902,8642,1.0,266.0
2020-02-09,12.818481848184819,9393,1.0,315.0
2020-02-16,14.420018421860608,9771,1.0,320.0
2020-02-23,15.17752069412586,10027,1.0,306.0
2020-03-01,15.277488454357865,10177,1.0,326.0
2020-03-08,15.299523021512703,10273,1.0,350.0
2020-03-15,15.282776597798803,10358,1.0,333.0
2020-03-22,15.452342178369575,10439,1.0,338.0
2020-03-29,15.637963843958135,10510,1.0,461.0
2020-04-05,15.69442875964615,10626,1.0,530.0
2020-04-12,15.739420935412026,10776,1.0,539.0
2020-04-19,15.77780829442461,10923,1.0,544.0
2020-04-26,15.812086617740327,11037,1.0,547.0
2020-05-03,15.779055258467023,11220,1.0,549.0
2020-05-10,15.892907426962337,11364,1.0,552.0
