calc_date,avg,n_calc,min,max
2020-02-02,18.181181051265412,7705,1.0,1022.0
2020-02-09,21.512350785959107,8461,1.0,1235.0
2020-02-16,23.889726566895465,8887,1.0,1245.0
2020-02-23,25.131529952907677,9131,1.0,1256.0
2020-03-01,25.431926406926408,9240,1.0,1254.0
2020-03-08,25.30903109413138,9423,1.0,1243.0
2020-03-15,25.427895235089935,9507,1.0,1237.0
2020-03-22,25.675891376451077,9648,1.0,1209.0
2020-03-29,25.952795412656155,9766,1.0,1220.0
2020-04-05,26.31335094492989,9842,1.0,1216.0
2020-04-12,26.508469479803548,9977,1.0,1244.0
2020-04-19,26.722106927562013,10119,1.0,1274.0
2020-04-26,26.75075425790754,10275,1.0,1268.0
2020-05-03,26.645532037161193,10441,1.0,1262.0
2020-05-10,26.87046827794562,10592,1.0,1258.0
