calc_date,avg,n_calc,min,max
2020-02-02,1.1031286210892237,1726,1.0,4.0
2020-02-09,1.134570765661253,2155,1.0,4.0
2020-02-16,1.145050505050505,2475,1.0,4.0
2020-02-23,1.1468451242829827,2615,1.0,4.0
2020-03-01,1.1426448736998513,2692,1.0,4.0
2020-03-08,1.1424870466321244,2702,1.0,4.0
2020-03-15,1.1552544855364335,2731,1.0,4.0
2020-03-22,1.1549497847919656,2788,1.0,4.0
2020-03-29,1.1576512455516015,2810,1.0,4.0
2020-04-05,1.1645658263305323,2856,1.0,4.0
2020-04-12,1.152257612880644,2857,1.0,4.0
2020-04-19,1.147758152173913,2944,1.0,4.0
2020-04-26,1.143098211272359,2963,1.0,4.0
2020-05-03,1.1385180240320427,2996,1.0,3.0
2020-05-10,1.143917392707325,3099,1.0,4.0
