account_id,observation_date,is_churn,like_per_month,newfriend_per_month,post_per_month,adview_per_month,dislike_per_month,unfriend_per_month,message_per_month,reply_per_month,adview_per_post,reply_per_message,like_per_post,post_per_message,unfriend_per_newfriend,dislike_pcnt,newfriend_pcnt_chng,days_since_newfriend
27,2020-03-01,False,47.0,3.0,52.0,8.0,27.0,0.0,9.0,4.0,0.15384616,0.44444445,0.0,5.7777777,0.0,1.0,-0.39999998,23.0
36,2020-03-01,False,210.0,9.0,39.0,75.0,21.0,0.0,27.0,14.0,1.9230769,0.5185185,0.0,1.4444444,0.0,1.0,3.5,3.0
91,2020-03-01,False,12.0,5.0,6.0,7.0,2.0,0.0,5.0,3.0,1.1666666,0.6,0.0,1.2,0.0,1.0,4.0,0.0
112,2020-03-01,False,28.0,1.0,2.0,12.0,1.0,0.5090909,4.0,0.0,6.0,0.0,0.0,0.5,0.5090909,1.0,0.0,23.0
218,2020-03-01,False,3.0,8.0,12.0,26.0,11.0,0.0,18.0,9.0,2.1666667,0.5,0.0,0.6666667,0.0,1.0,0.33333337,4.0
232,2020-03-01,False,55.0,8.0,6.0,4.0,0.0,0.0,5.0,0.0,0.6666667,0.0,0.0,1.2,0.0,0.0,0.1428572,0.0
237,2020-03-01,True,7.0,0.0,4.0,4.0,0.0,0.0,7.0,2.0,1.0,0.2857143,0.0,0.5714286,0.0,0.0,-1.0,0.0
258,2020-03-01,False,6.0,1.0,28.0,17.0,11.0,0.0,134.0,64.0,0.60714287,0.47761193,0.0,0.20895523,0.0,1.0,-0.5,22.0
272,2020-03-01,False,165.0,9.0,31.0,24.0,2.0,1.0181818,1.0,3.0,0.7741935,3.0,0.0,31.0,0.113131315,1.0,0.28571427,2.0
279,2020-03-01,False,13.0,1.0,5.0,9.0,17.0,0.5090909,35.0,24.0,1.8,0.6857143,0.0,0.14285715,0.5090909,1.0,0.0,26.0
284,2020-03-01,False,63.0,6.0,6.0,21.0,19.0,0.0,31.0,15.0,3.5,0.48387095,0.0,0.19354838,0.0,1.0,2.0,10.0
321,2020-03-01,False,89.0,6.0,11.0,70.0,20.0,0.5090909,4.0,2.0,6.3636365,0.5,0.0,2.75,0.084848486,1.0,-0.39999998,7.0
354,2020-03-01,False,72.0,8.0,14.0,75.0,12.0,0.0,35.0,19.0,5.357143,0.54285717,0.0,0.4,0.0,1.0,-0.27272725,0.0
356,2020-03-01,False,1.0,2.0,1.0,1.0,2.0,0.5090909,10.0,2.0,1.0,0.2,0.0,0.1,0.25454545,1.0,1.0,11.0
386,2020-03-01,False,696.0,19.0,9.0,24.0,8.0,0.5090909,62.0,41.0,2.6666667,0.66129035,0.0,0.14516129,0.026794259,1.0,0.9,0.0
442,2020-03-01,False,442.0,30.0,29.0,99.0,71.0,0.5090909,10.0,1.0,3.413793,0.1,0.0,2.9,0.016969698,1.0,0.875,2.0
565,2020-03-01,False,6.0,0.0,7.0,3.0,0.0,0.0,233.0,59.0,0.42857143,0.2532189,0.0,0.030042918,0.0,0.0,0.0,0.0
577,2020-03-01,False,10.0,1.0,3.0,6.0,10.0,0.5090909,32.0,11.0,2.0,0.34375,0.0,0.09375,0.5090909,1.0,-0.5,9.0
587,2020-03-01,False,69.0,12.0,53.0,45.0,12.0,0.0,11.0,4.0,0.8490566,0.36363637,0.0,4.818182,0.0,1.0,-0.07692307,3.0
692,2020-03-01,False,62.0,3.0,38.0,78.0,5.0,0.0,96.0,30.0,2.0526316,0.3125,0.0,0.39583334,0.0,1.0,-0.57142854,0.0
737,2020-03-01,False,162.0,3.0,3.0,23.0,7.0,0.0,5.0,3.0,7.6666665,0.6,0.0,0.6,0.0,1.0,0.0,4.0
769,2020-03-01,False,65.0,4.0,24.0,30.0,55.0,0.0,8.0,3.0,1.25,0.375,0.0,3.0,0.0,1.0,0.0,15.0
778,2020-03-01,False,23.0,1.0,8.0,11.0,0.0,0.0,46.0,16.0,1.375,0.3478261,0.0,0.17391305,0.0,0.0,0.0,1.0
791,2020-03-01,False,27.0,5.0,104.0,12.0,6.0,0.0,8.0,3.0,0.115384616,0.375,0.0,13.0,0.0,1.0,0.6666666,10.0
798,2020-03-01,False,319.0,9.0,63.0,76.0,10.0,0.5090909,16.0,1.0,1.2063493,0.0625,0.0,3.9375,0.056565657,1.0,0.28571427,1.0
856,2020-03-01,False,45.0,11.0,44.0,38.0,4.0,0.0,15.0,4.0,0.8636364,0.26666668,0.0,2.9333334,0.0,1.0,0.57142854,7.0
878,2020-03-01,False,60.0,0.0,30.0,9.0,4.0,0.5090909,277.0,142.0,0.3,0.51263535,0.0,0.10830325,0.0,1.0,0.0,0.0
908,2020-03-01,False,303.0,38.0,231.0,192.0,47.0,0.0,5.0,7.0,0.83116883,1.4,0.0,46.2,0.0,1.0,-0.116279066,0.0
909,2020-03-01,False,19.0,1.0,6.0,24.0,5.0,0.5090909,105.0,20.0,4.0,0.1904762,0.0,0.057142857,0.5090909,1.0,0.0,11.0
1007,2020-03-01,False,14.0,3.0,3.0,9.0,1.0,0.5090909,0.0,0.0,3.0,0.0,0.0,0.0,0.16969697,1.0,0.0,1.0
1023,2020-03-01,False,53.0,20.0,52.0,41.0,12.0,0.5090909,380.0,166.0,0.78846157,0.4368421,0.0,0.1368421,0.025454545,1.0,-0.23076922,1.0
1027,2020-03-01,False,125.0,4.0,4.0,24.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.33333337,6.0
1033,2020-03-01,False,25.0,8.0,26.0,50.0,85.0,0.0,2.0,3.0,1.9230769,1.5,0.0,13.0,0.0,1.0,0.33333337,3.0
1041,2020-03-01,False,4.0,0.0,7.0,1.0,5.0,0.0,7.0,1.0,0.14285715,0.14285715,0.0,1.0,0.0,1.0,-1.0,53.0
1146,2020-03-01,False,401.0,15.0,44.0,53.0,39.0,0.5090909,12.0,1.0,1.2045455,0.083333336,0.0,3.6666667,0.033939395,1.0,-0.0625,1.0
