account_id,observation_date,like_per_month,newfriend_per_month,post_per_month,adview_per_month,dislike_per_month,unfriend_per_month,message_per_month,reply_per_month,adview_per_post,reply_per_message,post_per_message,unfriend_per_newfriend,dislike_pcnt,newfriend_pcnt_chng,days_since_newfriend
3,2020-05-10,18.0,9.0,25.0,16.0,3.0,0.33333334,24.0,5.0,0.64,0.20833333,1.0416666,0.11111111,1.0,0.5,1.0
4,2020-05-10,48.0,10.0,96.0,64.0,22.0,0.0,110.0,26.0,1.3333334,0.47272727,1.7454545,0.0,2.0,0.0,26.0
5,2020-05-10,21.0,14.0,18.0,8.0,1.0,0.33333334,6.0,2.0,0.44444445,0.33333334,3.0,0.0,1.0,0.27272725,0.0
6,2020-05-10,34.0,3.0,35.0,7.0,2.0,0.6666667,28.0,9.0,0.2,0.32142857,1.25,0.33333334,1.0,-0.57142854,1.0
7,2020-05-10,89.0,10.0,26.0,68.0,1.0,0.0,145.0,82.0,2.6153846,0.56551725,0.17931035,0.0,1.0,0.25,2.0
8,2020-05-10,24.0,1.0,5.0,14.0,11.0,0.33333334,54.0,10.0,2.8,0.18518518,0.09259259,0.0,1.0,0.0,12.0
9,2020-05-10,46.0,8.0,19.0,14.0,28.0,0.0,2.0,2.0,0.7368421,1.0,9.5,0.0,1.0,1.0,1.0
10,2020-05-10,44.0,8.0,12.0,17.0,2.0,0.6666667,725.0,276.0,1.4166666,0.38068965,0.016551724,0.0,1.0,0.1428572,3.0
11,2020-05-10,11.0,5.0,18.0,9.0,1.0,0.33333334,13.0,4.0,0.5,0.30769232,1.3846154,0.0,1.0,0.0,3.0
12,2020-05-10,13.0,3.0,2.0,0.0,2.0,0.33333334,159.0,57.0,0.0,0.35849056,0.012578616,0.33333334,1.0,0.0,22.0
14,2020-05-10,7.0,4.0,7.0,5.0,2.0,0.33333334,38.0,2.0,0.71428573,0.05263158,0.18421052,0.0,1.0,0.0,7.0
16,2020-05-10,8.0,2.0,6.0,6.0,34.0,0.6666667,242.0,106.0,2.0,0.87603307,0.049586777,0.0,2.0,-1.0,42.0
17,2020-05-10,5.0,0.0,7.0,7.0,13.0,0.0,18.0,12.0,1.0,0.6666667,0.3888889,0.0,1.0,0.0,81.0
18,2020-05-10,22.0,2.0,52.0,7.0,8.0,0.33333334,7.0,3.0,0.13461539,0.42857143,7.428571,0.5,1.0,0.0,12.0
19,2020-05-10,174.0,4.0,93.0,22.0,40.0,0.6666667,10.0,0.0,0.23655914,0.0,9.3,0.0,1.0,-0.19999999,10.0
20,2020-05-10,48.0,12.0,22.0,62.0,6.0,0.33333334,6.0,2.0,2.8181818,0.33333334,3.6666667,0.083333336,1.0,0.71428573,3.0
21,2020-05-10,210.0,1.0,13.0,11.0,1.0,0.6666667,85.0,42.0,0.84615386,0.49411765,0.15294118,2.0,1.0,-0.75,14.0
22,2020-05-10,3.0,1.0,25.0,7.0,4.0,0.33333334,2.0,3.0,0.28,1.5,12.5,1.0,1.0,-0.5,1.0
23,2020-05-10,432.0,18.0,55.0,103.0,11.0,0.33333334,4.0,3.0,1.8727273,0.75,13.75,0.0,1.0,-0.21739131,1.0
24,2020-05-10,5.0,1.0,20.0,7.0,10.0,0.0,120.0,56.0,0.35,0.46666667,0.16666667,0.0,1.0,0.0,23.0
25,2020-05-10,24.0,2.0,26.0,29.0,20.0,0.33333334,6.0,0.0,1.1153846,0.0,4.3333335,0.0,1.0,1.0,6.0
26,2020-05-10,98.0,8.0,2.0,17.0,6.0,0.0,307.0,122.0,8.5,0.39739415,0.0065146578,0.0,1.0,-0.111111104,0.0
27,2020-05-10,43.0,3.0,40.0,4.0,19.0,1.0,10.0,0.0,0.1,0.0,4.0,0.0,1.0,2.0,5.0
28,2020-05-10,59.0,14.0,51.0,52.0,16.0,1.0,12.0,2.0,1.0196079,0.16666667,4.25,0.071428575,1.0,1.3333333,0.0
29,2020-05-10,118.0,14.0,102.0,125.0,30.0,0.0,11.0,9.0,1.2254902,0.8181818,9.272727,0.0,1.0,0.07692313,0.0
30,2020-05-10,1.0,1.0,1.0,2.0,4.0,0.0,6.0,3.0,2.0,0.5,0.16666667,0.0,1.0,-0.5,27.0
31,2020-05-10,21.0,8.0,24.0,4.0,7.0,0.0,14.0,1.0,0.16666667,0.071428575,1.7142857,0.0,1.0,0.1428572,6.0
32,2020-05-10,23.0,4.0,23.0,52.0,65.0,0.0,48.0,3.0,2.2608695,0.0625,0.47916666,0.0,1.0,-0.3333333,15.0
33,2020-05-10,31.0,7.0,47.0,11.0,7.0,0.6666667,16.0,7.0,0.23404256,0.4375,2.9375,0.14285715,1.0,1.3333333,7.0
34,2020-05-10,60.0,3.0,44.0,25.0,14.0,0.33333334,7.0,3.0,0.5681818,0.42857143,6.285714,0.0,1.0,-0.39999998,6.0
35,2020-05-10,84.0,5.0,32.0,15.0,43.0,0.33333334,13.0,5.0,0.46875,0.3846154,2.4615386,0.0,1.0,0.0,0.0
36,2020-05-10,191.0,4.0,56.0,54.0,13.0,0.0,34.0,11.0,0.96428573,0.32352942,1.6470588,0.0,1.0,0.33333337,7.0
37,2020-05-10,5.0,0.0,8.0,7.0,13.0,0.0,58.0,27.0,0.875,0.46551725,0.13793103,0.0,1.0,-1.0,29.0
38,2020-05-10,115.0,4.0,9.0,5.0,3.0,0.0,7.0,2.0,0.5555556,0.2857143,1.2857143,0.0,1.0,-0.3333333,7.0
39,2020-05-10,301.0,8.0,34.0,75.0,24.0,0.33333334,175.0,77.0,2.2058823,0.44,0.19428572,0.0,1.0,-0.5294118,2.0
40,2020-05-10,58.0,1.0,29.0,11.0,2.0,0.33333334,5.0,1.0,0.37931034,0.2,5.8,1.0,1.0,-0.5,28.0
41,2020-05-10,49.0,3.0,10.0,52.0,8.0,0.33333334,33.0,3.0,5.2,0.09090909,0.3030303,0.0,1.0,-0.25,20.0
42,2020-05-10,49.0,8.0,130.0,239.0,5.0,0.0,50.0,11.0,1.8384615,0.22,2.6,0.0,1.0,0.33333337,12.0
43,2020-05-10,35.0,8.0,20.0,21.0,1.0,0.33333334,17.0,1.0,1.05,0.05882353,1.1764706,0.0,1.0,0.33333337,7.0
44,2020-05-10,193.0,14.0,18.0,136.0,48.0,0.6666667,34.0,22.0,7.5555553,0.64705884,0.5294118,0.0,1.0,0.0,1.0
45,2020-05-10,6.0,3.0,2.0,1.0,1.0,0.0,8.0,6.0,0.5,0.75,0.25,0.0,1.0,0.5,10.0
46,2020-05-10,24.0,7.0,17.0,6.0,9.0,0.6666667,24.0,6.0,0.3529412,0.25,0.7083333,0.14285715,1.0,0.0,1.0
47,2020-05-10,57.0,3.0,10.0,32.0,0.0,1.0,49.0,28.0,3.2,0.5714286,0.20408164,0.6666667,0.0,0.0,11.0
48,2020-05-10,10.0,13.0,43.0,7.0,5.0,0.0,7.0,8.0,0.1627907,1.1428572,6.142857,0.0,1.0,0.18181813,1.0
49,2020-05-10,40.0,6.0,107.0,12.0,13.0,0.33333334,60.0,25.0,0.11214953,0.41666666,1.7833333,0.16666667,1.0,-0.6666666,1.0
50,2020-05-10,49.0,5.0,37.0,18.0,8.0,0.6666667,1.0,0.0,0.4864865,0.0,37.0,0.2,1.0,-0.7058823,3.0
51,2020-05-10,8.0,0.0,2.0,6.0,6.0,0.33333334,125.0,48.0,3.0,0.384,0.016,0.0,1.0,0.0,105.0
52,2020-05-10,1.0,1.0,7.0,2.0,1.0,0.0,11.0,2.0,0.2857143,0.18181819,0.6363636,0.0,1.0,-0.6666666,12.0
53,2020-05-10,23.0,1.0,8.0,12.0,9.0,0.0,37.0,31.0,1.5,0.8378378,0.21621622,0.0,1.0,-0.75,1.0
54,2020-05-10,14.0,2.0,7.0,1.0,1.0,0.6666667,47.0,12.0,0.14285715,0.25531915,0.14893617,0.5,1.0,0.0,3.0
55,2020-05-10,60.0,12.0,38.0,54.0,6.0,0.0,42.0,21.0,1.4210526,0.5,0.9047619,0.0,1.0,-0.36842108,3.0
56,2020-05-10,27.0,5.0,40.0,19.0,11.0,0.33333334,99.0,29.0,0.475,0.2929293,0.4040404,0.0,1.0,0.0,3.0
57,2020-05-10,87.0,1.0,7.0,27.0,2.0,0.33333334,8.0,1.0,3.857143,0.125,0.875,0.0,1.0,-0.875,20.0
58,2020-05-10,12.0,11.0,21.0,16.0,15.0,0.0,57.0,15.0,0.7619048,0.2631579,0.36842105,0.0,1.0,0.8333334,0.0
59,2020-05-10,147.0,18.0,96.0,160.0,75.0,0.0,227.0,101.0,1.6666666,0.44493392,0.4229075,0.0,1.0,-0.14285713,0.0
60,2020-05-10,63.0,15.0,18.0,106.0,20.0,0.0,51.0,28.0,5.888889,0.54901963,0.3529412,0.0,1.0,0.25,2.0
61,2020-05-10,447.0,6.0,143.0,26.0,58.0,0.0,10.0,3.0,0.18181819,0.3,14.3,0.0,1.0,-0.14285713,1.0
62,2020-05-10,0.0,1.0,3.0,3.0,3.0,1.6666666,9.0,1.0,1.0,0.11111111,0.33333334,2.0,1.0,0.0,27.0
64,2020-05-10,244.0,7.0,26.0,29.0,32.0,0.33333334,31.0,27.0,1.1153846,0.87096775,0.83870965,0.0,1.0,0.16666663,0.0
65,2020-05-10,17.0,8.0,5.0,9.0,14.0,1.0,9.0,1.0,1.8,0.11111111,0.5555556,0.0,1.0,0.6,5.0
66,2020-05-10,111.0,7.0,14.0,70.0,18.0,0.0,27.0,16.0,5.0,0.5925926,0.5185185,0.0,1.0,-0.6818182,0.0
68,2020-05-10,12.0,2.0,12.0,11.0,14.0,0.33333334,91.0,11.0,0.9166667,0.12087912,0.13186814,0.0,1.0,-0.6,14.0
70,2020-05-10,38.0,10.0,14.0,26.0,12.0,0.0,29.0,16.0,1.8571428,0.55172414,0.4827586,0.0,1.0,0.111111164,3.0
71,2020-05-10,37.0,1.0,2.0,5.0,9.0,0.33333334,34.0,23.0,2.5,0.6764706,0.05882353,1.0,1.0,-0.6666666,5.0
