,count,nonzero,mean,std,skew,min,1pct,25pct,50pct,75pct,99pct,max
is_churn,25143,0.047846319,0.047846319,0.213445217,4.237055822,0,0,0,0,0,1,1
like_per_month,25143,0.991965955,102.7019449,238.3062177,13.57284968,0,1,17,42,104,918.58,9483
newfriend_per_month,25143,0.906813029,7.079584775,8.990355696,5.030200916,0,0,2,5,9,40,200
post_per_month,25143,0.983056914,42.99132959,83.13148675,12.22839179,0,0,9,21,47,354.58,3159
adview_per_month,25143,0.979198982,41.56385475,72.9853631,7.281999943,0,0,8,20,46,333,1955
dislike_per_month,25143,0.953466173,15.80101818,22.82140883,5.343964888,0,0,4,9,19,107,532
unfriend_per_month,25143,0.497196039,0.30768936,0.397825168,1.667917749,0,0,0,0,0.5283019,1.5555556,4.4210525
message_per_month,25143,0.976454679,62.23004415,164.2933196,12.88340908,0,0,8,20,56,619,5781
reply_per_month,25143,0.880244999,23.68718928,60.0879128,11.58040498,0,0,2,7,23,234,2029
adview_per_post,25143,0.966272919,1.618635515,2.463760892,8.933665568,0,0,0.44444445,0.9230769,1.9090909,11.29833314,102
reply_per_message,25143,0.871415503,0.378669299,0.336660752,3.304678829,0,0,0.1521739,0.3478261,0.5,1.58799997,6
post_per_message,25143,0.960187726,4.225650496,13.08285902,10.49395361,0,0,0.22580644,0.8630137,3,55,399
unfriend_per_newfriend,25143,0.452412202,0.086464558,0.189910933,4.755246909,0,0,0,0,0.08760965,1.0120482,3.8181818
dislike_pcnt,25143,0.953466173,0.953466173,0.210642337,-4.305898362,0,0,1,1,1,1,1
newfriend_pcnt_chng,25143,0.70568349,0.184072401,0.930058481,3.358794415,-1,-1,-0.25,0,0.33333337,4,14
days_since_newfriend,25143,0.764705882,7.193890944,11.37916142,3.153534259,0,0,1,3,9,54,115
