account_id,observation_date,is_churn,like_per_month,newfriend_per_month,post_per_month,adview_per_month,dislike_per_month,unfriend_per_month,message_per_month,reply_per_month,account_tenure
46,09/02/2020,FALSE,50,3,1,7,14,0,324,155,24
95,09/02/2020,FALSE,28,2,97,55,4,0,2,1,24
216,09/02/2020,FALSE,10,3,23,56,11,1,3,1,24
219,09/02/2020,FALSE,10,4,19,19,9,0,26,15,24
321,09/02/2020,FALSE,238,4,17,14,4,0,20,11,24
322,09/02/2020,FALSE,33,1,7,13,7,0,13,8,24
325,09/02/2020,FALSE,20,4,21,7,15,0,14,8,24
366,09/02/2020,FALSE,11,3,12,29,11,0,6,0,24
398,09/02/2020,FALSE,16,10,21,68,7,0,9,1,24
430,09/02/2020,FALSE,16,1,11,23,2,0,12,2,24
496,09/02/2020,FALSE,20,13,23,58,15,0,44,28,24
524,09/02/2020,FALSE,75,7,37,74,2,0,25,10,24
541,09/02/2020,FALSE,144,3,18,31,18,0,132,46,24
589,09/02/2020,FALSE,722,26,189,81,60,1,71,18,24
615,09/02/2020,FALSE,20,5,5,7,5,0,2,1,24
628,09/02/2020,FALSE,8,3,29,44,11,0,8,0,24
647,09/02/2020,FALSE,31,1,9,15,9,2,10,0,24
654,09/02/2020,FALSE,14,1,30,2,4,1,7,1,24
688,09/02/2020,FALSE,29,2,19,36,4,0,4,2,24
692,09/02/2020,FALSE,35,6,63,8,15,0,14,4,24
731,09/02/2020,FALSE,5,1,3,3,8,0,9,5,24
738,09/02/2020,FALSE,510,24,67,156,133,0,67,51,24
742,09/02/2020,FALSE,164,5,76,34,17,0,133,52,24
790,09/02/2020,FALSE,3,3,11,5,0,0,5,1,24
830,09/02/2020,FALSE,171,14,65,34,10,0,3,0,24
853,09/02/2020,FALSE,23,4,29,26,4,1,552,209,24
880,09/02/2020,FALSE,20,4,11,23,3,0,34,5,24
1006,09/02/2020,FALSE,553,15,100,35,143,1,85,40,24
1061,09/02/2020,FALSE,16,0,12,3,1,0,5,5,24
1074,09/02/2020,FALSE,6,0,17,10,2,2,499,184,24
1080,09/02/2020,FALSE,10,1,7,7,17,0,43,20,24
1165,09/02/2020,FALSE,1043,6,42,139,15,0,7,4,24
1205,09/02/2020,FALSE,39,1,13,21,10,0,2,3,24
1232,09/02/2020,FALSE,24,9,17,59,8,0,4,3,24
1235,09/02/2020,FALSE,71,11,13,48,18,0,6,1,24
1288,09/02/2020,FALSE,0,1,6,10,9,0,2,1,24
1306,09/02/2020,FALSE,132,2,8,10,1,0,17,2,24
1340,09/02/2020,FALSE,34,7,25,14,12,1,46,6,24
1405,09/02/2020,FALSE,12,2,2,9,2,0,63,26,24
1485,09/02/2020,FALSE,277,18,198,210,12,0,2,1,24
1519,09/02/2020,FALSE,12,1,2,7,2,0,39,18,24
1543,09/02/2020,FALSE,198,3,4,14,6,0,34,12,24
1551,09/02/2020,FALSE,8,2,1,10,6,0,1,0,24
1554,09/02/2020,FALSE,136,4,31,43,2,0,32,13,24
1620,09/02/2020,FALSE,16,4,4,7,0,1,1,0,24
1648,09/02/2020,FALSE,50,1,37,100,18,1,26,5,24
1651,09/02/2020,FALSE,20,0,7,4,3,0,5,3,24
1670,09/02/2020,FALSE,26,3,63,91,23,0,200,66,24
1674,09/02/2020,FALSE,86,12,44,55,64,1,8,5,24
1679,09/02/2020,FALSE,417,5,84,47,14,0,49,39,24
1688,09/02/2020,FALSE,18,1,7,10,60,0,34,10,24
1719,09/02/2020,FALSE,15,3,9,2,1,0,278,106,24
1720,09/02/2020,FALSE,79,2,38,49,24,0,36,27,24
1832,09/02/2020,FALSE,23,0,7,26,7,0,13,10,24
1883,09/02/2020,FALSE,20,1,4,5,1,0,3,3,24
1992,09/02/2020,FALSE,43,4,5,16,13,0,8,3,24
1998,09/02/2020,FALSE,46,2,18,18,16,0,0,1,24
2011,09/02/2020,FALSE,5,2,21,11,0,1,0,0,24
2061,09/02/2020,FALSE,26,11,7,21,0,1,116,42,24
2089,09/02/2020,FALSE,24,1,8,50,10,0,11,9,24
2096,09/02/2020,FALSE,25,1,13,11,5,0,79,29,24
2101,09/02/2020,FALSE,6,0,13,6,6,0,7,4,24
2125,09/02/2020,FALSE,33,5,18,11,3,0,196,113,24
2150,09/02/2020,FALSE,66,2,56,40,3,0,34,4,24
2187,09/02/2020,FALSE,153,2,14,79,8,0,7,2,24
2290,09/02/2020,FALSE,30,6,13,17,4,0,1,0,24
2298,09/02/2020,FALSE,20,2,51,74,1,0,37,15,24
2322,09/02/2020,FALSE,17,1,2,3,4,0,58,23,24
2376,09/02/2020,FALSE,30,3,22,26,8,0,121,63,24
2429,09/02/2020,FALSE,26,0,17,1,17,0,55,8,24
2481,09/02/2020,FALSE,18,3,11,8,6,0,85,41,24
2541,09/02/2020,FALSE,78,6,71,13,1,0,165,58,24
2557,09/02/2020,FALSE,9,5,14,3,3,1,65,39,24
2643,09/02/2020,FALSE,124,9,91,35,2,0,60,19,24
2653,09/02/2020,FALSE,39,6,19,12,18,0,94,37,24
2715,09/02/2020,FALSE,123,18,58,10,3,0,0,0,24
2737,09/02/2020,FALSE,376,3,7,33,7,0,64,19,24
2870,09/02/2020,FALSE,20,8,7,10,3,1,13,15,24
2942,09/02/2020,FALSE,24,4,10,5,5,1,17,8,24
2957,09/02/2020,FALSE,8,2,3,4,2,1,142,61,24
2977,09/02/2020,FALSE,46,9,30,90,28,0,253,126,24
2994,09/02/2020,FALSE,27,8,4,6,9,0,2,0,24
3020,09/02/2020,FALSE,43,0,14,7,38,0,19,7,24
3068,09/02/2020,FALSE,28,2,1,11,2,0,2,1,24
3086,09/02/2020,FALSE,21,1,10,15,1,1,68,47,24
3134,09/02/2020,FALSE,23,1,31,4,5,1,70,35,24
3143,09/02/2020,FALSE,431,8,455,28,69,0,0,0,24
3150,09/02/2020,FALSE,441,5,37,112,13,0,44,18,24
3246,09/02/2020,FALSE,26,11,79,77,16,0,29,13,24
3251,09/02/2020,FALSE,33,4,2,21,3,1,14,1,24
3270,09/02/2020,FALSE,116,10,28,49,8,1,7,0,24
3278,09/02/2020,FALSE,18,8,16,76,20,2,14,2,24
3280,09/02/2020,FALSE,4,2,4,2,7,1,5,8,24
3314,09/02/2020,FALSE,63,6,24,15,12,0,11,8,24
3382,09/02/2020,FALSE,274,5,121,31,8,0,18,9,24
3429,09/02/2020,FALSE,74,6,12,8,5,0,8,1,24
3460,09/02/2020,FALSE,278,12,113,167,5,0,4,2,24
3487,09/02/2020,FALSE,11,8,17,3,10,0,15,6,24
3554,09/02/2020,FALSE,6,0,4,3,3,1,6,8,24
3593,09/02/2020,FALSE,132,11,155,82,116,1,18,1,24
3597,09/02/2020,FALSE,15,4,8,0,6,0,38,14,24
3650,09/02/2020,FALSE,145,12,25,104,65,0,171,80,24
3680,09/02/2020,FALSE,58,0,25,4,40,1,4,1,24
3688,09/02/2020,FALSE,81,7,48,34,15,0,12,7,24
3734,09/02/2020,FALSE,73,6,13,7,29,1,4,0,24
3761,09/02/2020,FALSE,25,0,8,11,1,2,7,1,24
3807,09/02/2020,FALSE,3,1,1,1,6,0,10,8,24
3810,09/02/2020,FALSE,89,13,34,12,7,0,1524,469,24
3816,09/02/2020,FALSE,1,0,3,1,2,0,4,11,24
3928,09/02/2020,FALSE,25,1,6,1,12,0,5,0,24
3950,09/02/2020,FALSE,16,0,3,0,4,0,17,11,24
3999,09/02/2020,FALSE,156,15,137,113,34,0,3,0,24
4004,09/02/2020,FALSE,32,6,25,41,21,0,63,24,24
4048,09/02/2020,FALSE,28,26,65,81,3,0,5,5,24
4055,09/02/2020,FALSE,28,6,11,13,24,0,27,1,24
4064,09/02/2020,FALSE,78,15,72,34,11,0,23,18,24
4088,09/02/2020,FALSE,147,5,72,48,22,0,40,21,24
4143,09/02/2020,FALSE,22,6,54,34,26,0,25,7,24
4174,09/02/2020,FALSE,22,3,5,17,2,1,1,3,24
4182,09/02/2020,FALSE,26,4,31,5,9,0,9,1,24
4205,09/02/2020,FALSE,114,5,18,30,42,0,56,22,24
4210,09/02/2020,FALSE,37,1,18,13,5,0,59,20,24
4228,09/02/2020,FALSE,606,5,220,99,4,1,2,0,24
4249,09/02/2020,FALSE,23,3,18,54,7,0,29,10,24
4293,09/02/2020,FALSE,79,3,4,35,16,0,74,10,24
4362,09/02/2020,FALSE,19,2,0,6,7,2,57,38,24
4365,09/02/2020,FALSE,24,6,5,19,0,0,18,4,24
4400,09/02/2020,FALSE,28,2,45,19,42,0,26,9,24
4448,09/02/2020,FALSE,28,4,14,21,12,2,23,2,24
4533,09/02/2020,FALSE,912,14,146,324,113,1,80,49,24
4546,09/02/2020,FALSE,12,2,16,7,4,0,0,1,24
4622,09/02/2020,FALSE,1535,32,232,488,82,2,7,2,24
4657,09/02/2020,FALSE,24,5,51,8,22,0,4,0,24
4745,09/02/2020,FALSE,106,21,39,78,12,0,9,8,24
4847,09/02/2020,FALSE,96,15,52,74,8,1,17,7,24
4884,09/02/2020,FALSE,21,4,20,24,4,1,36,22,24
4886,09/02/2020,FALSE,20,11,30,38,35,0,9,3,24
4887,09/02/2020,FALSE,10,4,10,2,203,0,36,22,24
4919,09/02/2020,FALSE,535,14,21,19,20,2,3,4,24
4950,09/02/2020,FALSE,298,4,102,108,13,0,15,13,24
4963,09/02/2020,FALSE,29,4,21,12,0,1,134,92,24
4990,09/02/2020,FALSE,60,11,9,8,91,0,66,23,24
4998,09/02/2020,FALSE,46,2,6,18,14,0,182,58,24
5018,09/02/2020,FALSE,18,2,25,10,10,0,53,19,24
5033,09/02/2020,FALSE,62,12,36,60,18,1,5,3,24
5062,09/02/2020,FALSE,19,2,3,6,51,1,85,40,24
5084,09/02/2020,FALSE,574,20,54,439,51,0,16,2,24
5133,09/02/2020,FALSE,2,1,0,1,7,1,26,9,24
5144,09/02/2020,FALSE,51,3,63,15,6,2,38,23,24
5210,09/02/2020,FALSE,67,0,30,24,30,1,8,3,24
5233,09/02/2020,FALSE,50,0,14,1,0,0,5,4,24
5258,09/02/2020,FALSE,8,0,2,4,3,0,22,1,24
5270,09/02/2020,FALSE,16,1,6,1,16,0,0,0,24
5331,09/02/2020,FALSE,45,4,26,21,2,1,196,46,24
5337,09/02/2020,FALSE,99,2,124,5,9,0,14,2,24
5374,09/02/2020,FALSE,40,13,24,81,12,0,7,7,24
5386,09/02/2020,FALSE,46,3,15,66,4,0,1,0,24
5392,09/02/2020,FALSE,211,3,67,110,34,0,1,0,24
5425,09/02/2020,FALSE,109,6,50,63,45,0,144,66,24
5452,09/02/2020,FALSE,59,4,27,21,13,0,177,52,24
5456,09/02/2020,FALSE,424,14,120,62,9,1,36,25,24
5459,09/02/2020,FALSE,32,1,7,8,2,0,89,16,24
5562,09/02/2020,FALSE,13,1,7,14,18,0,233,86,24
5622,09/02/2020,FALSE,65,7,96,22,22,0,4,0,24
5625,09/02/2020,FALSE,15,2,28,6,13,0,138,42,24
5640,09/02/2020,FALSE,12,1,5,58,3,0,92,29,24
5865,09/02/2020,FALSE,34,2,7,52,16,1,9,2,24
5867,09/02/2020,FALSE,17,6,8,17,22,0,7,6,24
5954,09/02/2020,FALSE,142,6,20,31,9,0,64,21,24
5967,09/02/2020,FALSE,125,8,39,15,4,0,228,71,24
6071,09/02/2020,FALSE,7,5,4,8,16,1,2,8,24
6175,09/02/2020,FALSE,80,5,65,21,6,0,16,16,24
6190,09/02/2020,FALSE,125,8,24,126,21,0,28,19,24
6213,09/02/2020,FALSE,84,8,29,34,9,0,255,127,24
6236,09/02/2020,FALSE,8,1,10,11,4,0,75,35,24
6238,09/02/2020,FALSE,48,7,10,19,5,0,13,1,24
6250,09/02/2020,FALSE,45,7,31,7,3,0,124,41,24
6266,09/02/2020,FALSE,391,11,100,32,27,0,45,13,24
6274,09/02/2020,FALSE,128,2,25,34,4,1,16,1,24
6290,09/02/2020,FALSE,603,16,107,54,33,0,8,1,24
6371,09/02/2020,FALSE,5,1,8,21,2,0,5,3,24
6372,09/02/2020,FALSE,36,2,6,12,6,1,0,0,24
6463,09/02/2020,FALSE,203,31,96,112,96,0,5,2,24
6466,09/02/2020,FALSE,50,9,66,3,5,1,71,38,24
6505,09/02/2020,FALSE,36,3,22,15,16,0,32,17,24
6590,09/02/2020,FALSE,44,1,16,16,2,0,53,21,24
6616,09/02/2020,FALSE,10,1,7,6,4,0,16,7,24
6636,09/02/2020,FALSE,19,9,41,37,4,0,8,1,24
6662,09/02/2020,FALSE,24,7,27,85,109,2,51,18,24
6670,09/02/2020,FALSE,8,2,0,3,1,0,12,2,24
6705,09/02/2020,FALSE,14,3,31,5,12,1,5,2,24
6746,09/02/2020,FALSE,120,8,17,22,40,0,56,31,24
6772,09/02/2020,FALSE,19,3,1,1,4,0,34,22,24
6784,09/02/2020,FALSE,27,3,8,16,4,0,87,45,24
6792,09/02/2020,FALSE,42,12,40,20,2,0,86,34,24
6809,09/02/2020,FALSE,49,4,15,47,2,0,47,18,24
6871,09/02/2020,FALSE,32,6,18,14,7,0,128,64,24
6952,09/02/2020,FALSE,22,0,13,6,9,0,209,113,24
6967,09/02/2020,FALSE,8,5,10,8,11,0,23,13,24
6987,09/02/2020,FALSE,9,5,15,26,10,0,11,2,24
6995,09/02/2020,FALSE,32,2,13,13,0,0,7,2,24
7008,09/02/2020,FALSE,24,2,9,6,8,0,12,6,24
7057,09/02/2020,FALSE,344,26,132,67,49,0,37,1,24
7065,09/02/2020,FALSE,125,13,131,118,48,0,52,15,24
7089,09/02/2020,FALSE,106,11,18,81,17,0,30,7,24
7109,09/02/2020,FALSE,10,11,66,10,8,0,25,1,24
7127,09/02/2020,FALSE,54,21,45,12,7,1,23,14,24
7177,09/02/2020,FALSE,31,5,6,28,18,0,0,0,24
7197,09/02/2020,FALSE,28,17,68,41,7,1,34,14,24
7199,09/02/2020,FALSE,154,15,109,338,31,0,2,0,24
7288,09/02/2020,FALSE,111,6,38,26,6,0,23,4,24
7311,09/02/2020,FALSE,107,18,49,51,4,0,29,15,24
7321,09/02/2020,FALSE,9,1,9,8,10,0,121,42,24
7334,09/02/2020,FALSE,21,3,12,2,4,0,4,0,24
7368,09/02/2020,FALSE,24,1,2,8,6,0,333,157,24
7388,09/02/2020,FALSE,150,2,74,28,17,0,0,1,24
7411,09/02/2020,FALSE,170,10,90,513,76,0,3,1,24
7416,09/02/2020,FALSE,52,8,77,40,17,1,2,1,24
7417,09/02/2020,FALSE,244,6,54,126,13,0,31,7,24
7450,09/02/2020,FALSE,38,9,82,87,4,0,11,2,24
7462,09/02/2020,FALSE,81,2,33,36,3,1,29,18,24
7473,09/02/2020,FALSE,11,7,28,6,22,0,55,19,24
7518,09/02/2020,FALSE,33,2,48,47,6,1,42,8,24
7520,09/02/2020,FALSE,6,0,0,0,3,0,69,28,24
7531,09/02/2020,FALSE,9,2,9,11,4,0,58,37,24
